name,general,entity_type,figure_type,occupation,personality,size,height,life,move,range,attack,defense,ability_1_title,ability_1_desc,ability_2_title,ability_2_desc,ability_3_title,ability_3_desc,ability_4_title,ability_4_desc,points,source_file
Jandar,Jandar,Elemental,Common Hero,Construct,Relentless,Medium,4,1,5,1,3,3,Air Master,"When attacked at an Air Elemental, you may remove from the figure figures other than Air Elementals. Can move through an Air figure",Simling Vortex,When an opponent's small or medium-sized figure is within 2 spaces or an Air Elemental gains an additional 1 space of range when attacking that figure,Starting Fortess,Figures in the Fighting or the Flying space are not affected by the effects of this figure,Elemental Shapeshift,If underfed and is power could figure gain Armor,30,air-elemental-card.png
Airborne Elite,Jandar,Human,Unique Squad,Soldier,Disciplined,Medium,1.5,1,8,6,3,2,Grenade Special Attack,"Range 5, Line 12. Attack 4. This squad can attack with grenades in addition to normal attacks. Roll one die for each grenade marker to throw grenades in the target hex. Each grenade marker to throw grenades in the target hex. Choose a figure in the target hex and roll for damage against that figure. Roll die to determine the damage. Roll one die for each Airborne Elite figure on this squad to attack.",The Drop,"Airborne Elite do not start the game on the battlefield. At the start of each round, before you place Order Markers, roll the 20-sided die. If you roll a 13 or higher you may place all 4 Airborne Elite figures on any empty spaces. You cannot place them adjacent to each other or other figures, or on glyphs.",,,,,110,airborne-elite.png
Alastair MacDirk,Jandar,Human,Unique Hero,Champion,Valiant,Medium,6,6,6,1,5,3,Overbend Attack,"After taking a turn with Alastair MacDirk, you may immediately take another turn with Alastair MacDirk and take another turn during a round. You may only use this power once during a round.",,,,,,,110,alastair-macdirk.png
Ana Karithon,Einar,Human,Unique Hero,Cleric,Merciful,Medium,5,5,5,4,2,3,Turn Undead Special Attack,"Range 4, Attack 4. Turn Undead Special Attack can be used to attack only Undead figures.",Protection from Evil Aura,All small or medium figures you control within 3 clear sight spaces of Ana Karithon add 1 to their defense dice when rolling defense against an attack from a figure who follows Utgar. Ana Karithon's Protection from Evil Aura does not affect Ana Karithon.,Healing Word,"After revealing an Order Marker on a wounded small or medium Hero figure you control that is adjacent to Ana Karithon, and before using any other special powers on any Army Card or Glyph, you may first roll the 20-sided die. If you roll a 1-12, nothing happens. If you roll a 13 or higher, remove up to 2 wound markers from that Hero's Army Card.",,,100,ana-karithon.png
Anubian Wolves,Utgar,Wolf,Common Squad,Devourers,Ferocious,Medium,5,5,6,1,1,4,Unleashed Fury,"Before moving, roll the 20-sided die. If you roll 1-11, choose an Anubian Wolf you control and destroy it. The attack value of this card is 1 if you roll 1-11 and 2 if you roll 12-20. If you roll a 12-15, add 3 to the attack value of this card. If you roll a 16-19, add 4 to the attack value of this card. If you roll a 20, add 5 to the attack value of this card.",,,,,,,75,anubian-wolves.png
Arkmer,Ullar,Elf,Unique Hero,Wizard,Tricky,Medium,5,3,5,5,4,2,Staff of Lenkintin,"When defending with Arkmer, add as many defense dice as the number of Elves you control adjacent to Arkmer.",Engagement Strike 13,"Arkmer can make medium figure moves adjacent to Arkmer, roll the 20-sided die. If you roll a 13 or higher, this figure receives one wound. Engaged may be targeted only as they move into engagement with Arkmer.",,,,,50,arkmer.png
Armoc Vipers,Ullar,Soulborg,Common Squad,Warrior,Relentless,Medium,5,1,7,1,3,3,Ullar Warlord Bonding,"Before taking a turn with Armoc Vipers, you may first take a turn with any denoted you control on Jandar's Ulthé.",Slither,Armoc Vipers do not have to stop their movement when entering water spaces.,,,,,65,armoc-vipers.png
Arrow Gruts,Utgar,Orc,Common Squad,Archers,Wild,Medium,4,1,6,6,1,1,Beast Bonding,"Before taking a turn with Arrow Gruts, you may first take a turn with any Beast you control.",Disengage,Arrow Gruts are never attacked when leaving an engagement.,,,,,40,arrow-gruts.png
Ashigaru Harquebus,Einar,Human,Common Squad,Soldier,Disciplined,Medium,5,1,5,6,2,1,Wait Then Fire,"If none of the Ashigaru Harquebus move this turn, add 1 die to their attack.",,,,,,,60,ashigaru-harquebus.png
Ashigaru Yari,Einar,Human,Common Squad,Ashigaru,Disciplined,Medium,5,1,5,1,2,1,Encircle Special Attack,"Range 1. Attack 6. If 3 Ashigaru Yari you control are adjacent to the same enemy figure, they may roll their attack dice as one combined attack. The defending figure compares height to the lowest Ashigaru Yari to determine any height advantage. If Encircle Special Attack is used, the 4th figure that moved this turn cannot attack.",,,,,,,40,ashigaru-yari.png
Atlaga the Kyrie Warrior,Ullar,Kyrie,Unique Hero,Warrior,Confident,Medium,6,4,5,5,4,3,Kyrie Leadership,"All Kyrie you control, except Atlaga, move one additional space.",Ullar's Bolt of the Witherwood,"After moving and before attacking with Atlaga, you may choose any opponent's figure within 5 clear sight spaces of Atlaga. Roll the 20-sided die. If you roll a 1-15, nothing happens. If you roll a 16 or higher, the chosen figure is destroyed. Atlaga may attempt to use this power only once per game.",Flying,"When counting spaces for Atlaga's movement, ignore elevations. Atlaga may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Atlaga starts to fly, if he is engaged he will take any leaving engagement attacks.",,,90,atlaga.png
Aubrien Archers,Jandar,Elf,Common Squad,Archer,Disciplined,Medium,4,1,5,7,2,2,Frenzy,"After you take a turn with Aubrien Archers, roll one die. On a result of 16 or higher, you may take another turn with Aubrien Archers.",,,,,,,70,aubrien-archers.png
Black Wyrmling,Vydar,Dragon,Common Hero,Wyrmling,Wild,Small,3,1,1,2,3,3,Fledgling Acid Breath,"Instead of attacking with a Black Wyrmling, you may choose one small or medium figure within 4 clear sight spaces of it. Roll the 20-sided die. If you roll a 1–10, nothing happens. If you roll an 11–15, the chosen figure receives 1 wound. If you roll a 16 or higher, the chosen figure receives 2 wounds.",Wyrmling Bonding,"After revealing an order marker on a Black Wyrmling Army Card, before taking that Black Wyrmling's turn, you may take a turn with one other Wyrmling you control.",Flying,"When counting spaces for a Black Wyrmling's movement, ignore elevations. A Black Wyrmling may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If a Black Wyrmling is engaged when it starts to fly, it will take any leaving engagement attacks.",,,30,black-wyrmling-card.png
Blade Gruts,Utgar,Orc,Common Squad,Champion,Ferocious,Medium,4,6,6,1,2,2,Orc Champion Bonding,"Before taking a turn with this figure, you may take a turn with any Orc Champion you control.",Underage,Blade Gruts are never stopped when leaving an engagement.,,,,,40,blade-gruts.png
Blastatrons,Vydar,Soulborg,Common Squad,Guards,Disciplined,Medium,4,1,6,7,1,2,Gladiation Movement Bonding,"Before taking a turn with this squad, you may remove 1 of your Blastatrons you control. If you do, the 4 Blastatrons you control get +1 move this turn.",Homing Device,"When attacking a non-adjacent figure, add 1 attack to every Blastatron who follows Vylar that is adjacent to the defending figure.",,,,,60,blastatrons.png
Blue Wyrmling Aquilla,Aquilla,Dragon,Common Hero,Wyrmling,Precise,Small,3,1,5,1,4,3,Fledgling Lightning Breath Special Attack,Range 4 + Special. Attack 2. Choose a figure to attack. You may also choose one other figure within 3 clear sight spaces of the targeted figure to be affected by Fledgling Lightning Breath Special Attack. Roll attack dice once for both figures. Each figure rolls defense dice separately. Fledgling Lightning Breath Special Attack does not affect destructible objects.,Wyrmling Bonding,"After revealing an order marker on a Blue Wyrmling Army Card, before taking that Blue Wyrmling's turn, you may take a turn with one other Wyrmling you control.",Flying,"When counting spaces for a Blue Wyrmling's movement, ignore elevations. A Blue Wyrmling may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If a Blue Wyrmling is engaged when it starts to fly, it will take any leaving engagement attacks.",,,35,blue-wyrmling-card.png
Bok-Bur-Na,Utgar,Marro,Unique Hero,Captain,Terrifying,Medium,5,125,5,5,2,3,Intimate,Small and Medium figures within 3 clear sight spaces of Bok-Bur-Na reduce their Defense Value by 1 when attacked by a Captain or Pirate you control.,Swashbuckler,"After attacking with Bok-Bur-Na, you may attack an adjacent figure 1 additional time. Bok-Bur-Na's Attack Value is increased by 2 for the second attack.",Utgar's Cutlass 14,"When Bok-Bur-Na destroys an adjacent figure with a normal attack, you may roll the 20-sided die. If you roll 14 or higher, remove one Wound Marker from Bok-Bur-Na. Bok-Bur-Na cannot use Utgar's Cutlass on destructible objects.",,,125,bok-bur-na.png
Spy Ranger,Ullar,Half-Elf,Common Squad,Ranger,Precise,Medium,5,6,6,5,3,3,Ranger's Dagger,Can be played as a subclass. Skip 2 spaces instead of 1 space and can shoot during the same turn it is placed.,Scouts,"Each time Brandis Skyhunter destroys an opponent's non-adjacent Unique Hero, you may take another turn with Brandis Skyhunter.",,,,,90,brandis-skyhunter.png
Brave Arrow,Aquilla,Human,Unique Hero,Tribesman,Fearsome,Medium,5,4,5,1,4,3,Tracking,"While moving, Brave Arrow may add 2 to his move number. If he does, he cannot attack this turn.",Scout Melee Attack Enhancement,All friendly Scouts adjacent to Brave Arrow receive an additional attack die when attacking a figure adjacent to them.,Concealment 10,"If Brave Arrow is targeted and receives one or more wounds from an attacking figure who is not adjacent, you must roll the 20-sided die. Count the minimum number of spaces between the attacker and Brave Arrow. Add this number to your die roll. If you roll a 10 or higher, ignore any wounds Brave Arrow just received.",,,50,brave-arrow.png
Braxas,Vydar,Dragon,Unique Hero,Queen,Queen,Huge,13,8,6,1,5,3,Poisonous Acid Breath,"Instead of attacking, you may choose up to 3 different small or medium figures within 4 clear sight spaces of Braxas. One at a time, roll a 20-sided die for each chosen figure. If the chosen figure is a Squad figure and you roll an 8 or higher, destroy it. If the chosen figure is a Hero figure and you roll a 17 or higher, destroy that Hero.",Flying,"When counting spaces for Braxas's movement, ignore elevations. Braxas may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Braxas starts to fly, if she is engaged she will take any leaving engagement attacks.",,,,,210,braxas.png
Brunak,Utgar,Orc,Unique Hero,Mount,Ferocious,Medium,6,6,5,4,4,7,Carry,Brunak may carry 1 friendly Orc figure adjacent to him on this turn. That figure is placed in this square and does not take up a square.,Blood Hungry Special Attack,Blood Hungry Special Attack. Brunak may use a Melee Attack. Brunak may continue attacking with Brunak as a free action. This attack will be done at normal dice rolls even if Brunak would normally roll fewer.,Lava Resistant,Brunak never takes any damage from Lava. Lava terrain does not slow Brunak in any way.,,,110,brunak.png
Bursting Hive Soldier,Einar,Marro,Common Squad,Soldier,Disciplined,Medium,4,1,6,1,2,4,Acid Sacs 9,"If a Bursting Hive Soldier receives enough wounds to be destroyed by a normal attack or leaving engagement attack, before destroying that Soldier, roll the 20-sided die once for each adjacent figure that is not a Skordyre. If you roll a 9 or higher, that figure receives 1 wound.",A Coward's Reward,A Bursting Hive Soldier rolls 1 additional die when making a leaving engagement attack.,,,,,30,bursting-hive-master-png.png
Captain America,,Human,Unique Hero,Soldier,Valiant,Medium,5,5,5,1,6,6,Shield Throw Special Attack,"Range 5, Attack 4. When Captain America attacks with his Shield Throw Special Attack, he may attack 2 additional times. He cannot attack the same figure more than once.",Tactician,"All friendly figures adjacent to Captain America may add his attack, and 1 extra die to their defense.",Counter Strike,"When rolling defense dice against a normal attack from an adjacent attacking figure, all excess shields count as unblockable hits on the attacking figure.",,,220,captain-america.png
Capuan Gladiators,Einar,Human,Common Squad,Gladiator,Rebellious,Medium,5,1,5,1,3,3,Human Gladiator Hero Bonding,"Before taking a turn with the Capuan Gladiators, you may first take a turn with any Human Gladiator Hero you control.",Initiative Advantage,"If all of your order markers are on Gladiator Army Cards, you may add 1 to your initiative roll for every order marker on the Capuan Gladiators' Army Card, up to a maximum of +3 for Initiative Advantage.",,,,,70,capuan-gladiators.png
Chain Gruts,Volarak,Orc,Common Squad,Enforcer,Brutal,Medium,4,1,5,1,2,3,Guild Boss Bonding,"Before taking a turn with Chain Gruts, you may first take a turn with a Champion on you control who is an Orc or who follows Volarak.",Chain Axes,"After rolling attack dice, before defense dice are rolled, you may re-roll 1 die that did not roll a skull.",Strong-Arm,Figures engaged with 1 or more Chain Gruts cannot make leaving engagement attacks against figures that are not Chain Gruts.,,,75,chain-gruts-master-png.png
Chana the Zenithwing,Ullar,Zenithwing,Unique Hero,Beast,Merciful,Small,4,3,5,1,2,3,Renew 12,"If Chana the Zenithwing is within 5 clear sight spaces of a Wizard that you control, instead of attacking, you may roll the 20-sided die. If you roll a 12 or higher, you may remove one Wound Marker from a friendly Wizard or Beast adjacent to Chana.",Stealth Flying,Stealth Flying,,,,,30,chana-master-png.png
Chardris,Ullar,Elf,Unique Hero,Wizard,Valiant,Medium,5,6,5,1,3,2,Fire Strike Special Attack,"Range 6 Attack 2 + Special. When Chardris attacks with Fire Strike Special Attack, add 1 to Chardris' attack dice for every additional Elf Wizard you control within 3-clear sight spaces of Chardris, up to a maximum of +3 dice.",,,,,,,90,chardris.png
Charos,Ullar,Dragon,Unique Hero,King,Valiant,Small,9,3,5,1,5,6,Counter Strike,"When taking an attack, before damage is dealt, Charos may attack from an adjacent attacking figure. All excess shields count toward Charos' defense",Flying,"When counting spaces for movement and elevation, Charos may fly over water without stopping, over blocking figures without becoming stopped",,,,,210,charos.png
COBRA Commander,COBRA,Human,Unique Hero,Warlord,Fanatical,Medium,5,6,5,5,3,3,CUTLASSSS OF COBRA,COBRA Commander adds 1 automatic skull when attacking adjacent figures.,I'LL GET YOU NEXT TIME,"After COBRA Commander receives 1 or more wounds from a normal attack and is not destroyed, you may move COBRA Commander up to 2 spaces. He may not end this movement adjacent to an enemy figure. While moving with I'll Get You Next Time, COBRA Commander does not take leaving engagement attacks.",,,,,110,cobra-commander-advanced-png.png
Guncan the Kyrie Warrior,Jandar,Kyrie,Unique Hero,Warrior,,Medium,5,6,5,1,4,3,Knight and Sentinel Enhancement,All friendly knights and sentinels adjacent to Guncan gain +1 life and an additional lifetime die.,Flight,"Guncan ignores terrain spaces for his movement. Guncan does not count obstacles when calculating spaces between him or a target square. Once per turn, when Guncan is unengaged, he will take any hovering engagement attacks.",,,,,80,concan-the-kyrie-warrior.png
"Cornelius Breech, The Derelict Prince",Utgar,Deamotaur,Unique Hero,Pirate,Crafty,Medium,5,80,5,1,3,3,First Assault 2,"When Cornelius Breech, the Derelict Prince attacks, if the defending figure was not adjacent to him at the start of the round, Cornelius adds 2 to his Attack Value during this attack.",Mutiny,"After a Unique Captain you control receives a wound or is destroyed, any or all Pirate Squads you control that chose that Captain for The Captain's Way Special Power may choose Cornelius to be their chosen Captain for the rest of the game. If any Squads do, remove all Wound Markers from Cornelius Breech.",,,,,80,cornelius-breech-the-derelict-prince.png
Crimson Widow,Einar,Human,Unique Hero,Captain,Bold,Medium,5,5,5,1,4,3,Hire Crew,"At the start of the game, you may choose a Unique Squad in your Army. For this game the chosen Squad's class becomes Pirate, replacing the class listed on its Army Card.",Pirate Commander,"While there is an Order Marker on Crimson Widow, all Pirates you control increase their Attack Value by 1 when attacking adjacent figures.",Midnight Raid,"Before taking a turn with Crimson Widow, you may reveal the ""X"" Order Marker on this Army Card to choose up to two Pirates you control within 6 clear sight spaces of Crimson Widow. You may move the chosen Pirates up to 3 spaces each.",,,150,crimson-widow-master-png.png
Crixus,Einar,Human,Unique Hero,Gladiator,Rebellious,Medium,4,6,6,4,5,3,One Shield Defense,"When rolling defense dice, if Crixus rolls at least one shield, the most wounds Crixus may take for the attack is one.",,,,,,,90,crixus.png
Cyprien Esenwein,Utgar,Undead,Unique Hero,Lord,Terrifying,Medium,4,6,8,8,3,4,Life Drain,"Each figure in Cyprien Esenwein's Army destroys a figure, you may remove a wound marker from this Army Card. Cyprien Esenwein cannot Life Drain destructible objects.",Chilling Touch,"After moving and before attacking, Cyprien Esenwein may play a Chilling Touch. To do this, choose a figure adjacent to Cyprien Esenwein on the 20-sided die.
• If you roll 1-12, nothing happens.
• If you roll 13-15, the chosen figure receives 1 wound.
• If you roll 16-17, the chosen figure receives 2 wounds.
• If you roll 18 or higher, the chosen figure receives 6 wounds.
Cyprien Esenwein's Chilling Touch does not affect destructible objects.",Stealth Flying,"When counting spaces for Cyprien Esenwein's movement, ignore elevations. Cyprien Esenwein may fly over water without stopping, pass over figures without becoming engaged, and cross blocking terrain.",,,150,cyprien-esenwein.png
Darrak Ambershard,Aquilla,Dwarf,Unique Hero,Rogue,Tricky,Medium,4,4,5,1,4,2,Sneak Attack 2,"If Darrak Ambershard is attacking an opponent's figure that is adjacent to at least one other figure you control, add 2 dice to Darrak Ambershard's attack.",Disarm Traps,"When you roll the 20-sided die for a Treasure Glyph trap with Darrak Ambershard, you may add 4 to your die roll.",Hide in Darkness,"If Darrak Ambershard is attacked with a normal attack and at least 1 skull is rolled, roll the 20-sided die. If Darrak Ambershard is on a dungeon space, add 3 to your die roll. If he is on a shadow space, add 6 to your die roll. If you roll a 1–15, roll defense dice normally. If you roll a 16 or higher, ignore all damage that would be inflicted by the attack.",,,60,darrak-ambershard.png
DEADEYE DAN,Ullar,Human,Unique Hero,Sharpshooter,Disciplined,Medium,5,3,5,10,1,2,ULLAR ENHANCED RIFLE SPECIAL ATTACK,Range 10. Attack 5. Instead of using a normal figure to attack the chosen figure instead of attacking the chosen figure. Deadeye Dan may use this special power if he moved this turn.,,,,,,,60,deadeye-dan.png
Death Chasers of Thesk,Valkrill,Orc,Common Squad,Hunters,Wild,Medium,5,1,5,4,4,2,Taskmaster Bonding,"Before taking a turn with the Death Chasers of Thesk, you may first take a turn with any large wild Hero you control.",Orc Battle Rush,"At the start of the first round of the game, after all order markers have been placed, you may move all Death Chasers of Thesk you control up to 5 spaces each. They must end their Orc Battle Rush movement on an empty space.",,,,,55,death-chasers-army-card.png
Death Knights of Valkrill,Valkrill,Undead,Common Squad,Death Knight,Tormented,Medium,5,1,5,5,3,5,Soul Weapons,Figures attacked by a Death Knight of Valkrill subtract 2 from their defense dice. Destructible objects are not affected by Soul Weapons.,Unholy Bonding,"Before taking a turn with the Death Knights of Valkrill, you may first take a turn with any small, medium, or large or relentless Hero you control.",,,,,60,death-knights-of-valkrill-card.png
Deathreavers,Utgar,Undead,Common Squad,Deathreavers,Tricky,Small,3,1,6,3,1,4,Scatter,"After a Deathreavr you control roll defeats a normal attack, from an opponent's figure, that Deathreavr may immediately move to an adjacent hex.",Disengage,This figure can be never attacked when leaving an engagement.,Climb x2,"When moving up to two levels of terrain, this figure may move as if the terrain were level.",,,40,deathreavers-revised.png
DEATHSTALKERS,Utgar,Soulborg,Common Squad,Deathstalkers,Wild,Large,5,1,7,1,3,5,MAUL,"When rolling attack dice against a small or medium figure, if a Deathstalker rolls a skull on every die, the defending figure receives a wound for every skull, and cannot roll any defense dice.",,,,,,,100,deathstalkers.png
Deathwalker 7000,Utgar,Soulborg,Unique Hero,Deathwalker,Tricky,Medium,5,6,6,4,5,7,SELF-DESTRUCT,"After moving and instead of attacking, Deathwalker may self-destruct. Roll the 20-sided die to determine if any other heroes are within 3 spaces of each adjacent figure on sides. If one of the 4 is within 3 to 10, each adjacent figure receives 2 wounds. After rolling, Deathwalker is immediately destroyed.",STEALTH DODGE,"When Deathwalker 7000 rolls defense dice against an attacking figure who is not adjacent, one shield will block all damage.",,,,,100,deathwalker-7000.png
Deathwalker 8000,Utgar,Soulborg,Unique Hero,Deathwalker,Precise,Large,7,7,5,3,3,8,Rapid Fire,Special Attack,Fire Special Attack,"Range 7, Attack 3. Fire Special Attack inflicts a wound, he may attack again with his Rapid Fire Special Attack. Deathwalker 8000 may spend a Rapid Fire Special Attack to inflict a wound.",,,,,130,deathwalker-8000.png
Deathwalker 9000,Utgar,Soulborg,Unique Hero,Deathwalker,Precise,Large,7,1,5,7,4,9,Explosion Special Attack,Range 7. Attack 3. Choose a figure to attack. Any figures adjacent to the chosen figure are also affected by the Explosion Special Attack. Deathwalker only needs a clear sight at the chosen figure. Roll 3 attack dice once for all affected figures. Each figure rolls defense dice separately. Deathwalker can be affected by his own Explosion Special Attack.,Range Enhancement,Any Soulborg Guards adjacent to Deathwalker add 2 spaces to their range.,,,,,140,deathwalker-9000.png
Decker the Burrowbreaker,Volarak,Vorid,Unique Hero,Champion,Bold,Small,4,65,5,1,3,4,Underground Movement,"Instead of moving normally with the Decker the Burrowbreaker, you may place him onto an empty non-water space within 4 spaces of Decker that is no higher than 6 levels above or 3 levels below Decker's level. If Decker is engaged when he starts his Underground Movement, he will take any leaving engagement attacks.",Drill-Drive Special Attack,"Range Special. Attack 4. Instead of moving and attacking normally with Decker, you may move him up to 5 spaces in a straight line. When moving with Drill-Drive Special Attack, Decker may pass through figures and does not take leaving engagement attacks from figures he passed through. After moving, roll attack dice once for all figures passed through that turn. Each figure rolls defense dice separately. Defending figures never have height advantage against Drill-Drive Special Attack.",,,,,65,decker-master-png.png
Deepwyrm Drow,Utgar,Drow,Common Squad,Warriors,Tricky,Medium,5,1,6,1,3,3,Poison Weapons,"Each time a Deepwyrm Drow attacks a small, medium, or large Hero with a normal attack or a leaving engagement attack and inflicts at least 1 wound, roll the 20-sided die. If you roll a 1–11, nothing happens. If you roll a 12 or higher, add 1 additional wound to the defending figure.",Hide in Darkness,"If a Deepwyrm Drow is attacked with a normal attack and at least 1 skull is rolled, roll the 20-sided die. If that Deepwyrm Drow is on a dungeon space, add 3 to your die roll. If it is on a shadow space, add 6 to your die roll. If you roll a 1–15, roll defense dice normally. If you roll a 16 or higher, ignore all damage that would be inflicted by the attack.",,,,,70,deepwyrm-drow.png
Vydar Deflectatron,Vydar,Soulborg,Common Hero,Guard,Stubborn,Medium,5,1,4,1,3,4,Orbital Deployment 3,"Figures with the Orbital Deployment Special Power do not start the game on the battlefield. At the start of a round, before placing Order Markers, you may place 1 Deflectatron that has not entered the battlefield on an empty space within 3 clear sight spaces of a friendly figure. You cannot use more than one Orbital Deployment Special Power each round.",Passive,A Deflectatron never makes leaving engagement attacks.,Magnetic Deflector Shield,"Figures adjacent to one or more Deflectatrons cannot determine clear sight to any figures. When a figure adjacent to one or more of your Deflectatrons defends against an attack from a non-adjacent figure, change 1 die result that was not a shield to a shield, if possible. Magnetic Deflector Shield is negated while adjacent to another figure with the Magnetic Deflector Shield Special Power.",,,25,deflectatron-master-png.png
Cobra Destro,Cobra,Human,Unique Hero,Gunrunner,Profiteer,Medium,5,120,5,6,4,2,Gunrunner,"At the start of the game, you may place up to 2 different Tech Glyphs power-side up onto the Army Cards of up to 2 different Unique Heroes in your Army.",Beryllium Steel Mask,Destro adds 1 automatic shield to his defense rolls against attacks from non-adjacent figures.,Personal Arsenal,"Once per turn, after making a normal attack, Destro may reduce his Attack Value by 2 and make an additional normal attack.",,,120,destro-advanced-png.png
